,Identifier,primer_start,primer_end,adaptor_start,adaptor_end
21011,GGBKTAO02BNO40,1,21,NA,NA
21012,GGBKTAO02BOQ34,1,21,NA,NA
21013,GGBKTAO02BSL4X,1,21,NA,NA
21014,GGBKTAO02BYXL6,NA,NA,NA,NA
21015,GGBKTAO02BN4ZZ,1,21,NA,NA
21016,GGBKTAO02BMZWB,1,21,NA,NA
21017,GGBKTAO02BRQGT,1,21,NA,NA
21018,GGBKTAO02BZWG8,NA,NA,NA,NA
21019,GGBKTAO02BXSMN,1,21,NA,NA
21020,GGBKTAO02BM9CM,1,21,NA,NA
21021,GGBKTAO02BXFX6,NA,NA,NA,NA
21022,GGBKTAO02B04OJ,NA,NA,NA,NA
21023,GGBKTAO02BOQ5N,1,21,298,317
21024,GGBKTAO02BV7S4,NA,NA,NA,NA
21025,GGBKTAO02BS1WJ,NA,NA,NA,NA
21026,GGBKTAO02B04PL,1,21,317,336
21027,GGBKTAO02BOT7Y,1,21,NA,NA
21028,GGBKTAO02BUMT8,NA,NA,NA,NA
21029,GGBKTAO02BSSE3,1,21,NA,NA
21030,GGBKTAO02BRZZW,NA,NA,NA,NA
21031,GGBKTAO02B04NG,1,21,NA,NA
21032,GGBKTAO02BPSZ9,1,21,NA,NA
21033,GGBKTAO02BR6DO,1,21,NA,NA
21034,GGBKTAO02BTEN0,1,21,NA,NA
21035,GGBKTAO02BNFLQ,1,21,300,319
21036,GGBKTAO02BX46H,NA,NA,NA,NA
21037,GGBKTAO02BYEST,NA,NA,NA,NA
21038,GGBKTAO02BYOA5,NA,NA,NA,NA
21039,GGBKTAO02BNCG2,1,21,NA,NA
21040,GGBKTAO02BR26U,1,21,NA,NA
21041,GGBKTAO02BY0WM,NA,NA,NA,NA
21042,GGBKTAO02BWD06,NA,NA,NA,NA
21043,GGBKTAO02BRDXT,1,21,NA,NA
21044,GGBKTAO02BV4M3,1,21,NA,NA
21045,GGBKTAO02BWQMS,1,21,NA,NA
21046,GGBKTAO02BZJTD,1,21,NA,NA
21047,GGBKTAO02BVOPG,NA,NA,NA,NA
21048,GGBKTAO02B0IK9,1,21,NA,NA
21049,GGBKTAO02BNFOM,1,21,NA,NA
21050,GGBKTAO02BYEPA,1,21,NA,NA
21051,GGBKTAO02B16JW,1,21,NA,NA
21052,GGBKTAO02BQ07Y,1,21,NA,NA
21053,GGBKTAO02BOBCR,1,21,NA,NA
21054,GGBKTAO02BT966,NA,NA,NA,NA
21055,GGBKTAO02BWQKZ,1,21,NA,NA
21056,GGBKTAO02BMZUX,1,21,NA,NA
21057,GGBKTAO02BZWG4,1,21,NA,NA
21058,GGBKTAO02BQX2G,NA,NA,NA,NA
21059,GGBKTAO02BRWSA,NA,NA,NA,NA
21060,GGBKTAO02B1T1R,1,21,NA,NA
21061,GGBKTAO02B0LO3,NA,NA,NA,NA
21062,GGBKTAO02BV7PW,1,21,NA,NA
21063,GGBKTAO02BOT8O,1,21,NA,NA
21064,GGBKTAO02BNCFG,1,21,NA,NA
21065,GGBKTAO02B1A0N,1,21,NA,NA
21066,GGBKTAO02BQBXM,1,21,NA,NA
21067,GGBKTAO02B1AZS,1,21,NA,NA
21068,GGBKTAO02BTUB5,NA,NA,NA,NA
21069,GGBKTAO02BQRTN,NA,NA,NA,NA
21070,GGBKTAO02B10BK,1,21,NA,NA
21071,GGBKTAO02BV1CX,1,21,NA,NA
21072,GGBKTAO02BZP2T,NA,NA,NA,NA
21073,GGBKTAO02BQUUD,NA,NA,NA,NA
21074,GGBKTAO02BU2PK,1,21,NA,NA
21075,GGBKTAO02BSFSE,1,21,NA,NA
21076,GGBKTAO02BVB7G,1,21,NA,NA
